"sciname","country","iso3c","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish","genus","subfamily","family","order","class","superclass","phylum","kingdom","isscaap_group","common_name"
"trachurus japonicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Trachurus japonicus","yes","yes","trachurus","caranginae","carangidae","carangiformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes","japanese jack mackerel"
"gerres oblongus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Gerres oblongus","yes","yes","gerres",NA,"gerreidae","eupercaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","slender silver-biddy"
"gerres filamentosus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Gerres filamentosus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"threadfin silver biddy"
"nemipterus virgatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Nemipterus virgatus","yes","yes","nemipterus",NA,"nemipteridae","eupercaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","golden threadfin bream"
"scolopsis vosmeri","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Scolopsis vosmeri","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"vosmer’s spinecheek"
"acanthopagrus schlegelii","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Acanthopagrus schlegelii","yes","yes","acanthopagrus",NA,"sparidae","eupercaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","blackhead seabream"
"acanthopagrus latus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Acanthopagrus latus","yes","yes","acanthopagrus",NA,"sparidae","eupercaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","yellowfin seabream"
"evynnis cardinalis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Evynnis cardinalis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"red seabream"
"eleutheronema rhadinum","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Eleutheronema rhadinum","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fourfinger threadfin"
"polydactylus sexfilis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Polydactylus sexfilis","yes","yes","polydactylus",NA,"polynemidae","carangaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","sixfinger threadfin"
