"sciname","common_name","fao_fishing_area","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name","genus","subfamily","family","order","class","superclass","phylum","kingdom","isscaap"
"micromesistius poutassou","blue whiting(=poutassou)",27,"Norway","NOR","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting","micromesistius",NA,"gadidae","gadiformes","actinopterygii","osteichthyes","chordata","animalia","Cods, hakes, haddocks"
"micromesistius poutassou","blue whiting(=poutassou)",27,"Poland","POL","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting","micromesistius",NA,"gadidae","gadiformes","actinopterygii","osteichthyes","chordata","animalia","Cods, hakes, haddocks"
"micromesistius poutassou","blue whiting(=poutassou)",27,"Portugal","PRT","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting","micromesistius",NA,"gadidae","gadiformes","actinopterygii","osteichthyes","chordata","animalia","Cods, hakes, haddocks"
"micromesistius poutassou","blue whiting(=poutassou)",27,"Russian Federation","RUS","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting","micromesistius",NA,"gadidae","gadiformes","actinopterygii","osteichthyes","chordata","animalia","Cods, hakes, haddocks"
"micromesistius poutassou","blue whiting(=poutassou)",27,"Spain","ESP","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting","micromesistius",NA,"gadidae","gadiformes","actinopterygii","osteichthyes","chordata","animalia","Cods, hakes, haddocks"
"micromesistius poutassou","blue whiting(=poutassou)",27,"Sweden","SWE","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting","micromesistius",NA,"gadidae","gadiformes","actinopterygii","osteichthyes","chordata","animalia","Cods, hakes, haddocks"
"micromesistius poutassou","blue whiting(=poutassou)",27,"United Kingdom","GBR","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting","micromesistius",NA,"gadidae","gadiformes","actinopterygii","osteichthyes","chordata","animalia","Cods, hakes, haddocks"
"mallotus villosus","capelin",27,"Faroe Islands","FRO","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin","mallotus",NA,"osmeridae","osmeriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes"
"mallotus villosus","capelin",27,"France","FRA","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin","mallotus",NA,"osmeridae","osmeriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes"
"mallotus villosus","capelin",27,"Greenland","GRL","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin","mallotus",NA,"osmeridae","osmeriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes"
"mallotus villosus","capelin",27,"Iceland","ISL","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin","mallotus",NA,"osmeridae","osmeriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes"
