"sciname","common_name","fao_fishing_area","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trimmings_tonnes","wholefish_tonnes","importer_iso3c"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR"
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR"
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR"
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA"
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR"
