"sciname","common_name","fao_fishing_area","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name"
"Clupea harengus","atlantic herring",27,"United Kingdom","GBR","yes","yes",0.78,"yes","biomar","FishStat capture","Atlantic Herring"
"Engraulis ringens","anchoveta(=peruvian anchovy)",87,"Chile","CHL","yes","yes",0.15,"yes","biomar","FishStat capture","Peruvian Anchoveta"
"Engraulis ringens","anchoveta(=peruvian anchovy)",87,"Ecuador","ECU","yes","yes",0.15,"yes","biomar","FishStat capture","Peruvian Anchoveta"
"Engraulis ringens","anchoveta(=peruvian anchovy)",87,"Peru","PER","yes","yes",0.15,"yes","biomar","FishStat capture","Peruvian Anchoveta"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Denmark","DNK","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Faroe Islands","FRO","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"France","FRA","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Germany","DEU","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Greenland","GRL","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Iceland","ISL","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Ireland","IRL","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Lithuania","LTU","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Netherlands","NLD","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Norway","NOR","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Poland","POL","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Portugal","PRT","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Russian Federation","RUS","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Spain","ESP","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"Sweden","SWE","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Micromesistius poutassou","blue whiting(=poutassou)",27,"United Kingdom","GBR","yes","yes",0.02,"yes","biomar","FishStat capture","Blue Whiting"
"Mallotus villosus","capelin",27,"Faroe Islands","FRO","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin"
"Mallotus villosus","capelin",27,"France","FRA","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin"
"Mallotus villosus","capelin",27,"Greenland","GRL","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin"
"Mallotus villosus","capelin",27,"Iceland","ISL","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin"
"Mallotus villosus","capelin",27,"Norway","NOR","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin"
"Mallotus villosus","capelin",27,"Russian Federation","RUS","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin"
"Mallotus villosus","capelin",27,"Spain","ESP","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin"
"Thunnus obesus","bigeye tuna",57,"Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus tonggol","longtail tuna",57,"Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus maccoyii","southern bluefin tuna",57,"Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"tuna-like fishes nei",57,"Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Chile","CHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Chile","CHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Chile","CHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"China","CHN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"China","CHN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"China","CHN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"China","CHN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Colombia","COL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Colombia","COL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"tuna-like fishes nei",87,"Colombia","COL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Colombia","COL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"frigate and bullet tunas",87,"Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"tuna-like fishes nei",87,"Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"El Salvador","SLV","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"El Salvador","SLV","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"El Salvador","SLV","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"France","FRA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"France","FRA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"France","FRA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus tonggol","longtail tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Gymnosarda unicolor","dogtooth tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus tonggol","longtail tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus maccoyii","southern bluefin tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"tuna-like fishes nei",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus maccoyii","southern bluefin tuna",57,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus maccoyii","southern bluefin tuna",57,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"tuna-like fishes nei",57,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"tuna-like fishes nei",87,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus tonggol","longtail tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"tuna-like fishes nei",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Mexico","MEX","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Mexico","MEX","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Mexico","MEX","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Nicaragua","NIC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Nicaragua","NIC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Nicaragua","NIC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus thynnus","atlantic bluefin tuna",57,"Other nei",NA,"no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Other nei",NA,"no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"Other nei",NA,"no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Other nei",NA,"no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Panama","PAN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Panama","PAN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Panama","PAN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"frigate and bullet tunas",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"tuna-like fishes nei",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Philippines","PHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"Philippines","PHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Philippines","PHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Poland","POL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Portugal","PRT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Portugal","PRT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Portugal","PRT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Portugal","PRT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Seychelles","SYC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"Seychelles","SYC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Seychelles","SYC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"tuna-like fishes nei",87,"Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"tunas nei",87,"Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Spain","ESP","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"frigate and bullet tunas",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Auxis thazard","frigate tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus tonggol","longtail tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"tuna-like fishes nei",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus tonggol","longtail tuna",57,"Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus maccoyii","southern bluefin tuna",57,"Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Taiwan Province of China","TWN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Tanzania, United Rep. of","TZA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Auxis thazard","frigate tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus tonggol","longtail tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
NA,"tuna-like fishes nei",57,"Timor-Leste","TLS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"Timor-Leste","TLS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",57,"United Kingdom","GBR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"United States of America","USA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"United States of America","USA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"United States of America","USA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Vanuatu","VUT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Vanuatu","VUT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Vanuatu","VUT","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus obesus","bigeye tuna",87,"Venezuela (Boliv Rep of)","VEN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Katsuwonus pelamis","skipjack tuna",87,"Venezuela (Boliv Rep of)","VEN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Thunnus albacares","yellowfin tuna",87,"Venezuela (Boliv Rep of)","VEN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp."
"Scomberomorus guttatus","indo-pacific king mackerel",71,"Brunei Darussalam","BRN","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",87,"Chile","CHL","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",87,"China","CHN","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",87,"Ecuador","ECU","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",87,"Germany","DEU","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomberomorus guttatus","indo-pacific king mackerel",71,"Indonesia","IDN","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",87,"Korea, Republic of","KOR","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",71,"Korea, Republic of","KOR","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",87,"Lithuania","LTU","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",77,"Mexico","MEX","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Trachurus symmetricus","pacific jack mackerel",77,"Mexico","MEX","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",87,"Netherlands","NLD","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",87,"Peru","PER","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",71,"Philippines","PHL","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",87,"Poland","POL","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",87,"Russian Federation","RUS","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",77,"United States of America","USA","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Scomber japonicus","pacific chub mackerel",87,"Vanuatu","VUT","yes","yes",0.97,"yes","biomar","FishStat capture","Pacific Mackerel Spp."
"Sardina pilchardus","european pilchard(=sardine)",37,"Albania","ALB","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
"Sardina pilchardus","european pilchard(=sardine)",37,"Algeria","DZA","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
NA,"sardinellas nei",37,"Algeria","DZA","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
"Sardina pilchardus","european pilchard(=sardine)",27,"Belgium","BEL","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
"Sardina pilchardus","european pilchard(=sardine)",34,"Belize","BLZ","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
NA,"sardinellas nei",34,"Belize","BLZ","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
NA,"sardinellas nei",34,"Benin","BEN","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
"Sardina pilchardus","european pilchard(=sardine)",37,"Bulgaria","BGR","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
"Sardinella maderensis","madeiran sardinella",34,"Cameroon","CMR","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
"Sardinella aurita","round sardinella",34,"Cameroon","CMR","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
NA,"sardinellas nei",34,"Cameroon","CMR","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
"Sardina pilchardus","european pilchard(=sardine)",34,"China","CHN","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
NA,"sardinellas nei",34,"China","CHN","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
"Sardinella maderensis","madeiran sardinella",34,"Congo","COG","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
"Sardinella aurita","round sardinella",34,"Congo","COG","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
NA,"sardinellas nei",34,"Congo","COG","yes","yes",0.8,"yes","biomar","FishStat capture","Atlantic Sardine"
