"country","sciname","aquaculture","trim_prop","common_name","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
"France","merluccius merluccius","no",1,"european hake","no","yes","Shea et al. 2025",NA,"european hake","no","yes","FRA"
"France","molva dypterygia","no",1,"blue ling","no","yes","Shea et al. 2025",NA,"blue ling","no","yes","FRA"
"France","molva molva","no",1,"ling","no","yes","Shea et al. 2025",NA,"ling","no","yes","FRA"
"France","mullus surmuletus","no",1,"red mullet","no","yes","Shea et al. 2025",NA,"red mullet","no","yes","FRA"
"France","oncorhynchus mykiss","yes",1,"rainbow trout","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","FRA"
"France","oncorhynchus mykiss","yes",1,"rainbow trout","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","FRA"
"France","pecten maximus","no",1,"scallop","no","yes","Shea et al. 2025",NA,"scallop","no","yes","FRA"
"France","pleuronectes platessa","no",1,"plaice","no","yes","Shea et al. 2025",NA,"plaice","no","yes","FRA"
"France","pollachius pollachius","no",1,"pollack","no","yes","Shea et al. 2025",NA,"pollack","no","yes","FRA"
"France","pollachius virens","no",0.5,"saithe","yes","no","Shea et al. 2025",NA,"saithe","no","yes","FRA"
"France","pollachius virens","no",0.5,"saithe","no","yes","Shea et al. 2025",NA,"saithe","no","yes","FRA"
"France","reinhardtius hippoglossoides","no",1,"greenland halibut","no","yes","Shea et al. 2025",NA,"greenland halibut","no","yes","FRA"
"France","salmo salar","yes",1,"salmon","no","yes","Shea et al. 2025",NA,"salmon","no","no","FRA"
"France","salmo salar","yes",1,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","FRA"
"France","sardina pilchardus","no",0.5,"sardine","yes","no","Shea et al. 2025",NA,"sardine","no","yes","FRA"
"France","sardina pilchardus","no",0.5,"european sardine","no","yes","Shea et al. 2025",NA,"european sardine","no","yes","FRA"
"France","scomber scombrus","no",1,"mackerel","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","FRA"
"France","scophthalmus maximus","no",1,"turbot","no","yes","Shea et al. 2025",NA,"turbot","no","yes","FRA"
"France","sebastes mentella","no",1,"beaked redfish","no","yes","Shea et al. 2025",NA,"beaked redfish","no","yes","FRA"
"France","solea solea","no",1,"sole","no","yes","Shea et al. 2025",NA,"sole","no","yes","FRA"
"France","spondyliosoma cantharus","no",1,"black seabream","no","yes","Shea et al. 2025",NA,"black seabream","no","yes","FRA"
