"source_country_iso3c","source_country_name","importer_iso3c","sciname","common_name","wholefish","trimmings","trim_prop","data_source_feed","feed_report_spp_name"
"ESP","Spain","GBR","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ESP","Spain","GRC","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ESP","Spain","NOR","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ESP","Spain","TUR","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ESP","Spain","VNM","ammodytes tobianus","small sandeel","yes","no",0,"biomar","Sandeel"
"ECU","Ecuador","AUS","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","CHL","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","CHN","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","CRI","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","DNK","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","ECU","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","ESP","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","FRA","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","GBR","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","GRC","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","NOR","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","TUR","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","VNM","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","AUS","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","CHL","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","CHN","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","CRI","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","DNK","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","ECU","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","ESP","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","FRA","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","GBR","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","GRC","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","NOR","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","TUR","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","VNM","anchoa nasus","longnose anchovy","yes","yes",0.11,"biomar","Anchovy"
"IND","India","AUS","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","CHL","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","CHN","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","CRI","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","DNK","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","ECU","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","ESP","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","FRA","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","GBR","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","GRC","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","NOR","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","TUR","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
