"sciname","common_name","country","wholefish","trimmings","trim_prop","trimmings_tonnes","wholefish_tonnes","data_source_feed","data_source_fao_area_country","feed_report_spp_name","iso3c","importer_iso3c"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR","CAN"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR","CHL"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR","CHN"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR","ECU"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR","GBR"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR","IND"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR","MEX"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR","NOR"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR","THA"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR","USA"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR","VNM"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA","AUT"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA","CAN"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA","CHL"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA","CHN"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA","ECU"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA","GBR"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA","IND"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA","MEX"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA","NOR"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA","THA"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA","USA"
"Brevoortia patronus","Gulf menhaden","U.S.","yes","no",0,0,11947.122706,"cargill",NA,"Gulf menhaden","USA","VNM"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER","AUT"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER","CAN"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER","CHL"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER","CHN"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER","ECU"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER","GBR"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER","IND"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER","MEX"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER","NOR"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER","THA"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER","USA"
"Cetengraulis mysticetus","Pacific anchoveta","Peru","yes","no",0,0,2405.295486,"cargill",NA,"Pacific anchoveta","PER","VNM"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK","AUT"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK","CAN"
"Clupea harengus","Atlantic herring","Denmark","yes","yes",0.671994405904516,33253.91526,16231.48963,"cargill",NA,"Atlantic herring","DNK","CHL"
