"sciname","country","iso3c","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish","genus","subfamily","family","order","class","superclass","phylum","kingdom","isscaap_group","common_name"
"trachurus japonicus","China","CHN","yes","no",0,"Cao 2015",NA,"Trachurus japonicus","yes","no","trachurus","caranginae","carangidae","carangiformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes","japanese jack mackerel"
"clupea pallasii","China","CHN","yes","no",0,"Cao 2015",NA,"Clupea pallasii","yes","no","clupea","clupeinae","clupeidae","clupeiformes","actinopterygii","osteichthyes","chordata","animalia","Herrings, sardines, anchovies","pacific herring"
"trichiurus lepturus","China","CHN","yes","no",0,"Cao 2015",NA,"Trichiurus lepturus","yes","no","trichiurus","trichiurinae","trichiuridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous demersal fishes","largehead hairtail"
"ammodytes personatus","China","CHN","yes","no",0,"Cao 2015",NA,"Ammodytes personatus","yes","no","ammodytes",NA,"ammodytidae","perciformes/uranoscopoidei","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","pacific sandlance"
"decapterus maruadsi","China","CHN","yes","no",0,"Cao 2015",NA,"Decapterus maruadsi","yes","no","decapterus","caranginae","carangidae","carangiformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes","japanese scad"
"saurida elongate","China","CHN","yes","no",0,"Cao 2015",NA,"Saurida elongate","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"slender lizardfish"
"stolephorus indicus","China","CHN","yes","no",0,"Cao 2015",NA,"Stolephorus indicus","yes","no","stolephorus","engraulinae","engraulidae","clupeiformes","actinopteri","osteichthyes","chordata","animalia",NA,"indian anchovy"
"scomer japonicus","China","CHN","yes","no",0,"Cao 2015",NA,"Scomer japonicus","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chub mackerel"
"coptodon rendalli","China","CHN","no","yes",1,"Cao 2015; Seafood Watch",NA,"Nile Tilapia","no","no","coptodon","pseudocrenilabrinae","cichlidae","cichliformes","actinopterygii","osteichthyes","chordata","animalia","Tilapias and other cichlids","redbreast tilapia"
"coptodon zillii","China","CHN","no","yes",1,"Cao 2015; Seafood Watch",NA,"Nile Tilapia","no","no","coptodon","pseudocrenilabrinae","cichlidae","cichliformes","actinopterygii","osteichthyes","chordata","animalia","Tilapias and other cichlids","redbelly tilapia"
