"country","sciname","aquaculture","trim_prop","factory_id","common_name","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
"Chile","salmo salar","yes",1,40,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,41,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,46,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,47,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,48,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,37,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,38,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,39,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,40,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,41,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,46,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,47,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,48,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,25,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,27,"chilean sardine","yes","no","Shea et al. 2025",NA,"chilean sardine","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,28,"chilean sardine","yes","no","Shea et al. 2025",NA,"chilean sardine","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,29,"chilean sardine","yes","no","Shea et al. 2025",NA,"chilean sardine","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,31,"chilean sardine","yes","no","Shea et al. 2025",NA,"chilean sardine","no","yes","CHL"
