"sciname","common_name","iso3c","capture","trim_prop","trimmings","wholefish"
"molva dypterygia","blue ling","FRA","yes",1,"yes","no"
"molva molva","ling","FRA","yes",1,"yes","no"
"molva molva","ling","GBR","yes",1,"yes","no"
"moringua macrocephalus","bigheaded eel","CHN","yes",0,"no","yes"
"mulloidichthys martinicus","yellow goatfish","IND","yes",0,"no","yes"
"mullus surmuletus","surmullet","FRA","yes",1,"yes","no"
"muraenesox cinereus","daggertooth pike conger","CHN","yes",0,"no","yes"
"muraenesox cinereus","daggertooth pike conger","VNM","yes",0,"no","yes"
"myersina filifer","long-finned myersina","CHN","yes",0,"no","yes"
"nematalosa nasus","bloch's gizzard shad","CHN","yes",0,"no","yes"
"nemipterus hexodon","ornate threadfin bream","VNM","yes",0,"no","yes"
"nemipterus japonicus","japanese threadfin bream","IND","yes",1,"yes","no"
"nemipterus virgatus","golden threadfin bream","CHN","yes",0,"no","yes"
"nephrops norvegicus","norway lobster","GBR","yes",1,"yes","no"
"nephrops norvegicus","norway lobster","IRL","yes",1,"yes","no"
"octopus vulgare","common octopus","CHN","yes",0,"no","yes"
"odontamblyopus lacepedii","lacepede's wolf goby","CHN","yes",0,"no","yes"
"oedalechilus labeo","boxlip mullet","CHN","yes",0,"no","yes"
"okamejei boesemani","boeseman's skate","CHN","yes",0,"no","yes"
"okamejei kenojei","banded stingray (banded skate)","CHN","yes",0,"no","yes"
"oligoplites refulgens","shortjaw leatherjacket","MEX","yes",0,"no","yes"
"oligoplites saurus","leatherjacket","VNM","yes",0,"no","yes"
"oncorhynchus gorbuscha","pink(=humpback) salmon","CAN","yes",1,"yes","no"
"oncorhynchus gorbuscha","pink(=humpback) salmon","THA","yes",1,"yes","no"
"oncorhynchus gorbuscha","pink(=humpback) salmon","USA","yes",1,"yes","no"
"oncorhynchus keta","chum(=keta=dog) salmon","CAN","yes",1,"yes","no"
"oncorhynchus keta","chum(=keta=dog) salmon","THA","no",1,"yes","no"
"oncorhynchus keta","chum(=keta=dog) salmon","THA","yes",1,"yes","no"
"oncorhynchus keta","chum(=keta=dog) salmon","USA","yes",1,"yes","no"
"oncorhynchus kisutch","coho(=silver) salmon","CAN","yes",1,"yes","no"
"oncorhynchus kisutch","coho(=silver) salmon","CHL","no",1,"yes","no"
"oncorhynchus kisutch","coho(=silver) salmon","CHL","yes",1,"yes","no"
"oncorhynchus kisutch","coho(=silver) salmon","THA","no",1,"yes","no"
"oncorhynchus kisutch","coho(=silver) salmon","USA","yes",1,"yes","no"
"oncorhynchus mykiss","rainbow trout","CAN","yes",1,"yes","no"
"oncorhynchus mykiss","rainbow trout","CHL","no",1,"yes","no"
"oncorhynchus mykiss","rainbow trout","DNK","no",1,"yes","no"
"oncorhynchus mykiss","rainbow trout","ESP","no",1,"yes","no"
"oncorhynchus mykiss","rainbow trout","FRA","no",1,"yes","no"
"oncorhynchus mykiss","rainbow trout","GBR","no",1,"yes","no"
"oncorhynchus mykiss","rainbow trout","NOR","no",1,"yes","no"
"oncorhynchus mykiss","rainbow trout","PRT","no",1,"yes","no"
"oncorhynchus mykiss","rainbow trout","THA","no",1,"yes","no"
"oncorhynchus nerka","sockeye(=red) salmon","CAN","yes",1,"yes","no"
"oncorhynchus nerka","sockeye(=red) salmon","CHL","yes",1,"yes","no"
"oncorhynchus nerka","sockeye(=red) salmon","THA","yes",1,"yes","no"
"oncorhynchus nerka","sockeye(=red) salmon","USA","yes",1,"yes","no"
"oncorhynchus tshawytscha","chinook(=spring=king) salmon","CAN","yes",1,"yes","no"
"oncorhynchus tshawytscha","chinook(=spring=king) salmon","CHL","no",1,"yes","no"
"oncorhynchus tshawytscha","chinook(=spring=king) salmon","NZL","no",1,"yes","no"
"oncorhynchus tshawytscha","chinook(=spring=king) salmon","USA","yes",1,"yes","no"
"ophichthus apicalis","sharp-nosed eel","CHN","yes",0,"no","yes"
"opisthonema libertate","pacific thread herring","ECU","yes",1,"yes","no"
"opisthonema libertate","pacific thread herring","MEX","yes",0,"no","yes"
"opisthonema libertate","pacific thread herring","PAN","yes",0,"no","yes"
"oplegnathus fascistus","striped beakperch","CHN","yes",0,"no","yes"
"oratosquilla oratoria","japanese squillid mantis shrimp","CHN","yes",0,"no","yes"
"oratosquillina asiatica","asian shrimp","CHN","yes",0,"no","yes"
"oratosquillina interrupta","broken-back shrimp","CHN","yes",0,"no","yes"
"oreochromis","tilapias nei","CHN","no",1,"yes","no"
"oreochromis","tilapias nei","VNM","yes",0,"no","yes"
"oreochromis andersonii","three spotted tilapia","CHN","no",1,"yes","no"
"oreochromis aureus","blue tilapia","CHN","no",1,"yes","no"
"oreochromis macrochir","longfin tilapia","CHN","no",1,"yes","no"
"oreochromis mossambicus","mozambique tilapia","CHN","no",1,"yes","no"
"oreochromis niloticus","nile tilapia","CHN","no",1,"yes","no"
"oreochromis niloticus","nile tilapia","THA","no",1,"yes","no"
"oreochromis shiranus","tilapia shiranus","CHN","no",1,"yes","no"
"oreochromis spilurus","sabaki tilapia","CHN","no",1,"yes","no"
"ostorhinchus fasciatus","broad-barred cardinalfish","CHN","yes",0,"no","yes"
"ostorhinchus kiensis","midline cardinalfish","CHN","yes",0,"no","yes"
"ostorhinchus pleuron","lateral-banded cardinalfish","CHN","yes",0,"no","yes"
"ostorhinchus semilineatus","semi-lined cardinalfish","CHN","yes",0,"no","yes"
"ostrea","flat oysters nei","VNM","yes",0,"no","yes"
"otolithes ruber","tigertooth croaker","CHN","yes",0,"no","yes"
"otolithes ruber","tigertooth croaker","VNM","yes",0,"no","yes"
"ovalipes punctatus","sand crab","CHN","yes",0,"no","yes"
"oxyurichthys papuensis","papua goby","CHN","yes",0,"no","yes"
"palaemon","palaemon shrimps nei","ESP","yes",1,"yes","no"
"palaemon gravieri","chinese ditch prawn","CHN","yes",0,"no","yes"
"palaemon gravieri","ge's long-arm shrimp","CHN","yes",0,"no","yes"
"palaemon pacificus","pacific long-arm shrimp","CHN","yes",0,"no","yes"
"palaemon tenuidactylus","slender long-arm shrimp","CHN","yes",0,"no","yes"
"palaemonidae","palaemonid shrimps nei","ESP","yes",1,"yes","no"
"pampus argenteus","silver pomfret","CHN","yes",0,"no","yes"
"pampus chinensis","chinese silver pomfret","CHN","yes",0,"no","yes"
"pampus punctatissimus","northern silver pomfret","CHN","yes",0,"no","yes"
"pandalidae","pandalid shrimps nei","ESP","yes",1,"yes","no"
"pandalus montagui","aesop shrimp","ESP","yes",1,"yes","no"
"pangasianodon hypophthalmus","striped catfish","IND","yes",0,"no","yes"
"pangasius","pangas catfishes nei","THA","no",1,"yes","no"
"pangasius","pangas catfishes nei","VNM","no",1,"yes","no"
"paracentropogon rubripinnis","red-finned scorpaenopsis","CHN","yes",0,"no","yes"
"parachaeturichthys polynema","many-bearded parachthys","CHN","yes",0,"no","yes"
"paralichthys","bastard halibuts nei","USA","yes",1,"yes","no"
"paralichthys olivaceus","bastard halibut","CHN","yes",0,"no","yes"
"paralichthys olivaceus","bastard halibut","VNM","yes",0,"no","yes"
"paramonacanthus sulcatus","velvet-lined pufferfish","CHN","yes",0,"no","yes"
"parapenaeopsis atlantica","guinea shrimp","ESP","yes",1,"yes","no"
"parapenaeopsis cornuta","horned pseudocycus shrimp","CHN","yes",0,"no","yes"
"parapenaeopsis hardwickii","hales' pseudocycus shrimp","CHN","yes",0,"no","yes"
"parapenaeopsis tenella","elegant pseudocycus shrimp","CHN","yes",0,"no","yes"
"parapenaeus longirostris","deep-water rose shrimp","ESP","yes",1,"yes","no"
"parapercis ommatura","eye-spotted parapercis","CHN","yes",0,"no","yes"
"parapercis sexfasciata","six-banded parapercis","CHN","yes",0,"no","yes"
"paraplagusia japonica","japanese whiskered sole","CHN","yes",0,"no","yes"
"parastromateus niger","black pomfret","VNM","yes",0,"no","yes"
"pasiphaea multidentata","pink glass shrimp","ESP","yes",1,"yes","no"
"pasiphaea sivado","white glass shrimp","ESP","yes",1,"yes","no"
"pecten maximus","great atlantic scallop","FRA","yes",1,"yes","no"
"pecten maximus","great atlantic scallop","GBR","yes",1,"yes","no"
"penaeidae","penaeid shrimps nei","CRI","yes",1,"yes","no"
"penaeidae","penaeid shrimps nei","ESP","yes",1,"yes","no"
"penaeidae","penaeid shrimps nei","VNM","yes",0,"no","yes"
"penaeus","penaeus shrimps nei","CRI","yes",1,"yes","no"
"penaeus","penaeus shrimps nei","ESP","yes",1,"yes","no"
"penaeus","penaeus shrimps nei","VNM","yes",0,"no","yes"
"penaeus monodon","giant tiger prawn","YEM","no",1,"yes","no"
"penaeus vannamei","whiteleg shrimp","MEX","no",1,"yes","no"
"pennahia anea","donkey croaker","CHN","yes",0,"no","yes"
"pennahia argentata","silver croaker","CHN","yes",0,"no","yes"
"pennahia macrocephalus","bighead pennahia","CHN","yes",0,"no","yes"
"pentaprion longimanus",NA,"IND","yes",0,"no","yes"
"peprilus medius","pacific harvestfish","ECU","yes",0.5,"yes","yes"
"perciformes","tuna-like fishes nei","CRI","yes",1,"yes","no"
"perciformes","tuna-like fishes nei","ECU","yes",1,"yes","no"
"perciformes","tuna-like fishes nei","ESP","yes",1,"yes","no"
"perciformes","tuna-like fishes nei","GBR","yes",1,"yes","no"
"perciformes","tuna-like fishes nei","IDN","yes",1,"yes","no"
"perciformes","tuna-like fishes nei","IND","yes",1,"yes","no"
"perciformes","tuna-like fishes nei","MYS","yes",1,"yes","no"
"perciformes","tuna-like fishes nei","NZL","yes",1,"yes","no"
"perciformes","tuna-like fishes nei","OMN","yes",1,"yes","no"
"perciformes","tuna-like fishes nei","POL","yes",1,"yes","no"
"perciformes","tuna-like fishes nei","SYC","yes",1,"yes","no"
"perciformes","tuna-like fishes nei","THA","yes",1,"yes","no"
"perciformes","tuna-like fishes nei","TWN","yes",1,"yes","no"
"petroscirtes mitratus","jumping rockblenny","CHN","yes",0,"no","yes"
"phalium bisulcatum","japanese bonnet","CHN","yes",0,"no","yes"
"pholis fangi","fang's pholis","CHN","yes",0,"no","yes"
"pholis nebulosa","cloudy pholis","CHN","yes",0,"no","yes"
"photopectoralis bindus","orangefin ponyfish","CHN","yes",0,"no","yes"
"pila polita","apple snail","VNM","yes",0,"no","yes"
"pisodonophis boro","omnivorous eel","CHN","yes",0,"no","yes"
"pisodonophis cancrivorus","crab-eating eel","CHN","yes",0,"no","yes"
"platichthys flesus","european flounder","DNK","yes",1,"yes","no"
"platycephalus indicus","bartail flathead","CHN","yes",0,"no","yes"
"platycephalus indicus","bartail flathead","VNM","yes",0,"no","yes"
"pleoticus muelleri","argentine red shrimp","ARG","yes",1,"yes","no"
"plesionika edwardsii","striped soldier shrimp","ESP","yes",1,"yes","no"
"plesionika martia","golden shrimp","ESP","yes",1,"yes","no"
"pleuronectes platessa","european plaice","DNK","yes",1,"yes","no"
"pleuronectes platessa","european plaice","FRA","yes",1,"yes","no"
"pleuronectes platessa","european plaice","GBR","yes",1,"yes","no"
"pleuronichthys cornutus","horned flounder","CHN","yes",0,"no","yes"
"plotosus lineatus","striped eel catfish","CHN","yes",0,"no","yes"
"polinices didyma","bladder moon snail","CHN","yes",0,"no","yes"
"pollachius pollachius","pollack","FRA","yes",1,"yes","no"
"pollachius pollachius","pollack","GBR","yes",1,"yes","no"
"pollachius virens","saithe(=pollock)","DNK","yes",1,"yes","no"
"pollachius virens","saithe(=pollock)","FRA","yes",0.666666666666667,"yes","yes"
"pollachius virens","saithe(=pollock)","GBR","yes",1,"yes","no"
"pollachius virens","saithe(=pollock)","NOR","yes",1,"yes","no"
"pollachius virens","saithe(=pollock)","USA","yes",1,"yes","no"
"polydactylus sexfilis","sixfinger threadfin","CHN","yes",0,"no","yes"
"pomadasys","","VNM","yes",0,"no","yes"
"portunus","portunus swimcrabs nei","VNM","yes",0,"no","yes"
"priacanthus macracanthus","red bigeye","VNM","yes",0,"no","yes"
"priacanthus tayenus","purple-spotted bigeye","IND","yes",0,"no","yes"
"prionace glauca","blue shark","TWN","yes",1,"yes","no"
"pristigenys niphonia","japanese sawcheek","CHN","yes",0,"no","yes"
"probarbus jullieni","isok barb","THA","no",1,"yes","no"
"protonibea diacanthus","blackspotted croaker","VNM","yes",0,"no","yes"
"psenopsis anomala","pacific rudderfish","CHN","yes",0,"no","yes"
"psettina filimanus","silk-fingered psettina","CHN","yes",0,"no","yes"
"pseudanthias rubrizonatus","rubrizonatus anthias","CHN","yes",0,"no","yes"
"pseudorhombus cinnamoneus","cinnamon flounder","CHN","yes",0,"no","yes"
"pteria martensii","penguin wing oyster","VNM","yes",0,"no","yes"
"pterocaesio chrysozona",NA,"IND","yes",0,"no","yes"
"pterois volitans","red lionfish","CHN","yes",0,"no","yes"
"raja clavata","thornback ray","GBR","yes",1,"yes","no"
"rapana venosa","veined rapa whelk","CHN","yes",0,"no","yes"
"rastrelliger","indian mackerels nei","MYS","yes",1,"yes","no"
"rastrelliger","indian mackerels nei","THA","yes",0,"no","yes"
"rastrelliger brachysoma","short mackerel","VNM","yes",0,"no","yes"
"rastrelliger kanagurta","indian mackerel","CHN","yes",0,"no","yes"
"rastrelliger kanagurta","indian mackerel","IND","yes",0,"no","yes"
"rastrelliger kanagurta","indian mackerel","THA","yes",0.5,"yes","yes"
"reinhardtius hippoglossoides","greenland halibut","FRA","yes",1,"yes","no"
"reinhardtius hippoglossoides","greenland halibut","GBR","yes",1,"yes","no"
"reinhardtius hippoglossoides","greenland halibut","USA","yes",1,"yes","no"
"rhynchoconger ectenurus","black-tailed conger","CHN","yes",0,"no","yes"
"rogadius asper","spiny pufferfish","CHN","yes",0,"no","yes"
"salmo salar","atlantic salmon","CHL","no",1,"yes","no"
"salmo salar","atlantic salmon","DNK","no",1,"yes","no"
"salmo salar","atlantic salmon","ESP","no",1,"yes","no"
"salmo salar","atlantic salmon","ESP","yes",1,"yes","no"
"salmo salar","atlantic salmon","FRA","no",1,"yes","no"
"salmo salar","atlantic salmon","FRO","no",1,"yes","no"
"salmo salar","atlantic salmon","GBR","no",1,"yes","no"
"salmo salar","atlantic salmon","IRL","no",1,"yes","no"
"salmo salar","atlantic salmon","LTU","no",1,"yes","no"
"salmo salar","atlantic salmon","LVA","no",1,"yes","no"
"salmo salar","atlantic salmon","NOR","no",1,"yes","no"
"salmo salar","atlantic salmon","PRT","no",1,"yes","no"
"salmo salar","atlantic salmon","THA","no",1,"yes","no"
"salmo salar","atlantic salmon","USA","yes",1,"yes","no"
"salmo trutta","sea trout","ESP","no",1,"yes","no"
"samaris cristatus","crest flounder","CHN","yes",0,"no","yes"
"sardina pilchardus","european pilchard(=sardine)","DNK","yes",1,"yes","no"
"sardina pilchardus","european pilchard(=sardine)","ESP","yes",1,"yes","no"
"sardina pilchardus","european pilchard(=sardine)","FRA","yes",0.333333333333333,"yes","yes"
"sardina pilchardus","european pilchard(=sardine)","GBR","yes",0.5,"yes","yes"
"sardina pilchardus","european pilchard(=sardine)","IRL","yes",0.666666666666667,"yes","yes"
"sardina pilchardus","european pilchard(=sardine)","MAR","yes",0.403846153846154,"yes","yes"
"sardina pilchardus","european pilchard(=sardine)","MRT","yes",0,"no","yes"
"sardina pilchardus","european pilchard(=sardine)","OMN","yes",0,"no","yes"
"sardina pilchardus","european pilchard(=sardine)","TUR","yes",1,"yes","no"
"sardina pilchardus","european pilchard(=sardine)","WSM","yes",1,"yes","no"
"sardina pilchardus","european pilchard(=sardine)","ZAF","yes",1,"yes","no"
"sardinella","sardinellas nei","ESP","yes",1,"yes","no"
"sardinella","sardinellas nei","GMB","yes",0,"no","yes"
"sardinella","sardinellas nei","MRT","yes",1,"yes","no"
"sardinella","sardinellas nei","THA","yes",0,"no","yes"
"sardinella aurita","round sardinella","CHN","yes",0,"no","yes"
"sardinella aurita","round sardinella","ESP","yes",1,"yes","no"
"sardinella aurita","round sardinella","GMB","yes",0,"no","yes"
"sardinella aurita","round sardinella","MAR","yes",0.75,"yes","yes"
"sardinella fimbriata","fringescale sardinella","CHN","yes",0,"no","yes"
"sardinella fimbriata","fringescale sardinella","IDN","yes",0.5,"yes","yes"
"sardinella fimbriata","fringescale sardinella","IND","yes",0,"no","yes"
"sardinella gibbosa","goldstripe sardinella","IDN","yes",0.5,"yes","yes"
"sardinella hualiensis","hualien sardine","CHN","yes",0,"no","yes"
"sardinella jussieu","jussieu's sardine","CHN","yes",0,"no","yes"
"sardinella lemuru","bali sardinella","IDN","yes",0.5,"yes","yes"
"sardinella longiceps","indian oil sardine","IND","yes",0.1,"yes","yes"
"sardinella longiceps","indian oil sardine","IRN","yes",0.5,"yes","yes"
"sardinella longiceps","indian oil sardine","THA","yes",1,"yes","no"
"sardinella maderensis","madeiran sardinella","ESP","yes",1,"yes","no"
"sardinella maderensis","madeiran sardinella","GMB","yes",0,"no","yes"
"sardinella maderensis","madeiran sardinella","MRT","yes",0,"no","yes"
"sardinella nymphaea","chinese sardine","CHN","yes",0,"no","yes"
"sardinella zunasi","japanese sardinella","CHN","yes",0,"no","yes"
"sardinella zunasi","japanese sardinella","JPN","yes",0,"no","yes"
"sardinops sagax","south american pilchard","IDN","yes",0.5,"yes","yes"
"sardinops sagax","south american pilchard","MEX","yes",0,"no","yes"
"sardinops sagax","south american pilchard","THA","yes",1,"yes","no"
"sardinops sagax","south american pilchard","USA","yes",0,"no","yes"
"sardinops sagax","south american pilchard","WSM","yes",1,"yes","no"
"sardinops sagax","south american pilchard","ZAF","yes",0.75,"yes","yes"
"sarotherodon galilaeus","mango tilapia","CHN","no",1,"yes","no"
"sarotherodon melanotheron","blackchin tilapia","CHN","no",1,"yes","no"
"saurenchelys fierasfer","line-tailed eel","CHN","yes",0,"no","yes"
"saurida","lizardfishes","VNM","yes",0,"no","yes"
"saurida brasiliensis","largescale lizardfish","CHN","yes",0,"no","yes"
"saurida elongata","long-bodied barracuda","CHN","yes",0,"no","yes"
"saurida elongata","slender lizardfish","CHN","yes",0,"no","yes"
"saurida elongate","slender lizardfish","CHN","yes",0,"no","yes"
"saurida tumbil","greater lizardfish","CHN","yes",0,"no","yes"
"saurida tumbil","greater lizardfish","VNM","yes",0,"no","yes"
"saurida undosquamis","brushtooth lizardfish","IND","yes",0,"no","yes"
"scoliodon macrorhynchos","bigmouth spadenose shark","CHN","yes",0,"no","yes"
"scolopsis vosmeri","vosmer’s spinecheek","CHN","yes",0,"no","yes"
"scomber","scomber mackerels nei","VNM","yes",0,"no","yes"
"scomber colias","atlantic chub mackerel","MAR","yes",1,"yes","no"
"scomber japonicus","pacific chub mackerel","CAN","yes",1,"yes","no"
"scomber japonicus","pacific chub mackerel","CHL","yes",0,"no","yes"
"scomber japonicus","pacific chub mackerel","CHN","yes",0,"no","yes"
"scomber japonicus","pacific chub mackerel","ECU","yes",0.615384615384615,"yes","yes"
"scomber japonicus","pacific chub mackerel","IRL","yes",1,"yes","no"
"scomber japonicus","pacific chub mackerel","JPN","yes",0,"no","yes"
"scomber japonicus","pacific chub mackerel","MAR","yes",0,"no","yes"
"scomber japonicus","pacific chub mackerel","MEX","yes",0.15,"yes","yes"
"scomber japonicus","pacific chub mackerel","PER","yes",0,"no","yes"
"scomber japonicus","pacific chub mackerel","THA","yes",1,"yes","no"
"scomber scombrus","atlantic mackerel","AUS","yes",0,"no","yes"
"scomber scombrus","atlantic mackerel","CAN","yes",1,"yes","no"
"scomber scombrus","atlantic mackerel","DNK","yes",1,"yes","no"
"scomber scombrus","atlantic mackerel","ESP","yes",1,"yes","no"
"scomber scombrus","atlantic mackerel","FRA","yes",1,"yes","no"
"scomber scombrus","atlantic mackerel","FRO","yes",1,"yes","no"
"scomber scombrus","atlantic mackerel","GBR","yes",0.75,"yes","yes"
"scomber scombrus","atlantic mackerel","IND","yes",0,"no","yes"
"scomber scombrus","atlantic mackerel","ISL","yes",1,"yes","no"
"scomber scombrus","atlantic mackerel","NOR","yes",1,"yes","no"
"scomber scombrus","atlantic mackerel","THA","yes",1,"yes","no"
"scomberomorus commerson","narrow-barred spanish mackerel","MYS","yes",1,"yes","no"
"scomberomorus guttatus","indo-pacific king mackerel","MYS","yes",1,"yes","no"
"scomberomorus niphonius","japanese spanish mackerel","CHN","yes",0,"no","yes"
"scombridae","mackerels nei","MYS","yes",1,"yes","no"
"scomer japonicus","chub mackerel","CHN","yes",0,"no","yes"
"scophthalmus maximus","turbot","FRA","yes",1,"yes","no"
"scorpaenopsis cirrosa","scorpaenopsis cirrosa","CHN","yes",0,"no","yes"
"scyliorhinus canicula","small-spotted catshark","GBR","yes",1,"yes","no"
"sebastes mentella","beaked redfish","FRA","yes",1,"yes","no"
"sebastes mentella","beaked redfish","NOR","yes",1,"yes","no"
"sebastes schlegeli","schlegel’s rockfish","CHN","yes",0,"no","yes"
"sebastes viviparus","norway redfish","DNK","yes",1,"yes","no"
"sebastiscus marmoratus","marbled rockfish","CHN","yes",0,"no","yes"
"secutor ruconius","deep pugnose ponyfish","CHN","yes",0,"no","yes"
"secutor ruconius","ruconius scad","CHN","yes",0,"no","yes"
"selar crumenophthalmus","bigeye scad","VNM","yes",0,"no","yes"
"selaroides leptolepis","yellowstripe scad","VNM","yes",0,"no","yes"
"selene peruviana","peruvian moonfish","CAN","yes",1,"yes","no"
"sepia kobiensis hoyle","kobi cuttlefish","CHN","yes",0,"no","yes"
"sepiidae","cuttlefish, bobtail squids nei","KOR","yes",1,"yes","no"
"sepiola birostrata","butterfly bobtail squid","CHN","yes",0,"no","yes"
"seriola quinqueradiata","japanese amberjack","THA","yes",1,"yes","no"
"serranidae","groupers, seabasses nei","CRI","yes",1,"yes","no"
"setipinna taty","scaly hairfin anchovy","CHN","yes",0,"no","yes"
"setipinna tenuifilis","common hairfin anchovy","CHN","yes",0,"no","yes"
"setipinna tenuifilis","yellowfin scad","CHN","yes",0,"no","yes"
"siganus","spinefeet(=rabbitfishes) nei","VNM","yes",0,"no","yes"
"siganus fuscescens","mottled spinefoot","CHN","yes",0,"no","yes"
"sillago japonica","japanese sillago","CHN","yes",0,"no","yes"
"sillago sihama","silver sillago","CHN","yes",0,"no","yes"
"solea ovata","oval sole","CHN","yes",0,"no","yes"
"solea solea","common sole","FRA","yes",1,"yes","no"
"solenocera crassicornis","coastal mud shrimp","CHN","yes",0,"no","yes"
"solenocera membranacea","atlantic mud shrimp","ESP","yes",1,"yes","no"
"soletellina diphos","diphos sanguin","VNM","yes",0,"no","yes"
"sparus aurata","gilthead seabream","ESP","no",1,"yes","no"
"sphyraena flavicauda","yellowtail barracuda","CHN","yes",0,"no","yes"
"sphyraena jello","pickhandle barracuda","VNM","yes",0,"no","yes"
"sphyrnidae","hammerhead sharks, etc. nei","TWN","yes",1,"yes","no"
"spondyliosoma cantharus","black seabream","FRA","yes",1,"yes","no"
"sprattus sprattus","european sprat","DNK","yes",0,"no","yes"
"sprattus sprattus","european sprat","EST","yes",0.5,"yes","yes"
"sprattus sprattus","european sprat","FIN","yes",0,"no","yes"
"sprattus sprattus","european sprat","FRA","yes",0,"no","yes"
"sprattus sprattus","european sprat","GBR","yes",1,"yes","no"
"sprattus sprattus","european sprat","IRL","yes",1,"yes","no"
"sprattus sprattus","european sprat","LVA","yes",1,"yes","no"
"sprattus sprattus","european sprat","NOR","yes",0.5,"yes","yes"
"stephanolepis cirrhifer","threadsail filefish","CHN","yes",0,"no","yes"
"stolephorus","stolephorus anchovies nei","IND","yes",0,"no","yes"
"stolephorus","stolephorus anchovies nei","VNM","yes",0,"no","yes"
"stolephorus commersoni","commerson's anchovy","CHN","yes",0,"no","yes"
"stolephorus commersonnii","commerson's anchovy","CHN","yes",0,"no","yes"
"stolephorus indicus","indian anchovy","CHN","yes",0,"no","yes"
"strangomera bentincki","araucanian herring","CHL","yes",0.0434782608695652,"yes","yes"
"suezichthys gracilis","elongated suezichthys","CHN","yes",0,"no","yes"
"synechogobius hasta","javelin goby","CHN","yes",0,"no","yes"
"synechogobius ommaturus","spotted spiny goby","CHN","yes",0,"no","yes"
"synodus hoshinonis","shoulder spot lizardfish","CHN","yes",0,"no","yes"
"synodus kaianus","gunther's lizard fish","CHN","yes",0,"no","yes"
"taenioides cirratus","whiskered eel goby","CHN","yes",0,"no","yes"
"takifugu alboplumbeus","lead-spotted pufferfish","CHN","yes",0,"no","yes"
"takifugu niphobles","starry pufferfish","CHN","yes",0,"no","yes"
"takifugu oblongus","striped pufferfish","CHN","yes",0,"no","yes"
"takifugu xanthopterus","yellowfin pufferfish","CHN","yes",0,"no","yes"
"tanakius kitaharae","kitahara flounder","CHN","yes",0,"no","yes"
"teixeirichthys jordani","jordan's teixeirichthys","CHN","yes",0,"no","yes"
"terapon jarbua","jarbua terapon","CHN","yes",0,"no","yes"
"teuthida","various squids nei","KOR","yes",1,"yes","no"
"thamnaconus hypargyreus","yellowfin filefish","CHN","yes",0,"no","yes"
"thrissa kammalensis","kammal thryssa","CHN","yes",0,"no","yes"
"thrissa mystax","moustached thryssa","VNM","yes",0,"no","yes"
"thryssa dussumieri","dussumier's thryssa","CHN","yes",0,"no","yes"
"thryssa kammalensis","red-nosed anchovy","CHN","yes",0,"no","yes"
"thryssa mystax","mystic anchovy","CHN","yes",0,"no","yes"
"thryssa vitrirostris","yellow-lipped anchovy","CHN","yes",0,"no","yes"
"thunnus","tunas nei","ESP","yes",1,"yes","no"
"thunnus alalunga","albacore","CAN","yes",1,"yes","no"
"thunnus alalunga","albacore","ESP","yes",1,"yes","no"
"thunnus alalunga","albacore","MUS","yes",1,"yes","no"
"thunnus alalunga","albacore","SLV","yes",1,"yes","no"
"thunnus alalunga","albacore","THA","yes",1,"yes","no"
"thunnus alalunga","albacore","TUN","yes",1,"yes","no"
"thunnus alalunga","albacore","VNM","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","CAN","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","CRI","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","ECU","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","ESP","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","GBR","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","IDN","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","IND","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","MEX","no",1,"yes","no"
"thunnus albacares","yellowfin tuna","MUS","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","MYS","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","NZL","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","OMN","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","PHL","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","PNG","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","SLV","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","SYC","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","THA","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","TUN","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","TWN","yes",1,"yes","no"
"thunnus albacares","yellowfin tuna","VNM","yes",1,"yes","no"
"thunnus atlanticus","blackfin tuna","ESP","yes",1,"yes","no"
"thunnus atlanticus","blackfin tuna","GBR","yes",1,"yes","no"
"thunnus maccoyii","southern bluefin tuna","ESP","yes",1,"yes","no"
"thunnus maccoyii","southern bluefin tuna","GBR","yes",1,"yes","no"
"thunnus maccoyii","southern bluefin tuna","IDN","yes",1,"yes","no"
"thunnus maccoyii","southern bluefin tuna","NZL","yes",1,"yes","no"
"thunnus maccoyii","southern bluefin tuna","SYC","yes",1,"yes","no"
"thunnus maccoyii","southern bluefin tuna","THA","yes",1,"yes","no"
"thunnus maccoyii","southern bluefin tuna","TWN","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","CAN","yes",1,"yes","no"
"thunnus obesus","bigeye tuna","CRI","yes",1,"yes","no"
