"sciname","common_name","iso3c","capture","trim_prop","trimmings","wholefish"
"ariosoma anago","common eel","CHN","yes",0,"no","yes"
"aristaeomorpha foliacea","giant red shrimp","ESP","yes",1,"yes","no"
"aristaeopsis edwardsiana","scarlet shrimp","ESP","yes",1,"yes","no"
"aristeidae","aristeid shrimps nei","ESP","yes",1,"yes","no"
"aristeus antennatus","blue and red shrimp","ESP","yes",1,"yes","no"
"aristeus varidens","striped red shrimp","ESP","yes",1,"yes","no"
"arius arius","sea catfish","CHN","yes",0,"no","yes"
"arius thalassinus","sea catfish (marine catfish)","CHN","yes",0,"no","yes"
"arnoglossus tenuis","sheep's tongue flatfish","CHN","yes",0,"no","yes"
"artemesia longinaris","argentine stiletto shrimp","ARG","yes",1,"yes","no"
"aseraggodes kobensis","brown-spotted scaldfish","CHN","yes",0,"no","yes"
"atherinomorus lacunosus","hardyhead silverside","CHN","yes",0,"no","yes"
"atrobucca nibe","blackmouth croaker","CHN","yes",0,"no","yes"
"atule mate","yellowtail scad","VNM","yes",0,"no","yes"
"atypopenaeus stenodactylus","flat-footed pseudocycus shrimp","CHN","yes",0,"no","yes"
"auxis","frigate and bullet tunas","ECU","yes",1,"yes","no"
"auxis","frigate and bullet tunas","ESP","yes",1,"yes","no"
"auxis","frigate and bullet tunas","GBR","yes",1,"yes","no"
"auxis","frigate and bullet tunas","IDN","yes",1,"yes","no"
"auxis","frigate and bullet tunas","MYS","yes",1,"yes","no"
"auxis","frigate and bullet tunas","NZL","yes",1,"yes","no"
"auxis","frigate and bullet tunas","OMN","yes",1,"yes","no"
"auxis","frigate and bullet tunas","SYC","yes",1,"yes","no"
"auxis","frigate and bullet tunas","THA","yes",1,"yes","no"
"auxis","frigate and bullet tunas","TUR","yes",1,"yes","no"
"auxis","frigate and bullet tunas","TWN","yes",1,"yes","no"
"auxis rochei","bullet tuna","ECU","yes",1,"yes","no"
"auxis rochei","bullet tuna","ESP","yes",1,"yes","no"
"auxis rochei","bullet tuna","IDN","yes",1,"yes","no"
"auxis rochei","bullet tuna","IND","yes",1,"yes","no"
"auxis rochei","bullet tuna","TUR","yes",1,"yes","no"
"auxis thazard","frigate tuna","ECU","yes",0.5,"yes","yes"
"auxis thazard","frigate tuna","ESP","yes",1,"yes","no"
"auxis thazard","frigate tuna","GBR","yes",1,"yes","no"
"auxis thazard","frigate tuna","IDN","yes",1,"yes","no"
"auxis thazard","frigate tuna","IND","yes",1,"yes","no"
"auxis thazard","frigate tuna","MYS","yes",1,"yes","no"
"auxis thazard","frigate tuna","SYC","yes",1,"yes","no"
"auxis thazard","frigate tuna","THA","yes",1,"yes","no"
"bembrops curvatura","curved bembrops","CHN","yes",0,"no","yes"
"benthosema pterotum","skinnycheek lanternfish","CHN","yes",0,"no","yes"
"bilaglobosa swatson","golden snail","VNM","yes",0,"no","yes"
"bleekeria viridianguilla","green bleekeria","CHN","yes",0,"no","yes"
"branchiostegus japonicus","horsehead tilefish","CHN","yes",0,"no","yes"
"bregmaceros macclellandii","macclelland's cusk-eel","CHN","yes",0,"no","yes"
"bregmaceros mcclellandi","unicorn cod","CHN","yes",0,"no","yes"
