factory_id,country,lat,long,company,data_type,material_type,material_type_simple,comm_name,sci_name,func_group,source,website,date
226,Mauritania,21.0199,-16.3548,SMPC SARL,C,NA,NA,NA,NA,NA,IMROP,NA,May-24
227,Mauritania,21.0199,-16.3548,Winterisation Mauritania SARL,C,NA,NA,NA,NA,NA,IMROP,NA,May-24
228,Kazakhstan,NA,NA,NA,D,NA,NA,NA,NA,NA,primeminister.kz,NA,Apr-24
229,Mauritius,-20.1383,57.5142,Marine Biotechnology Products Ltd,A,fishery by-products,by-products,Bigeye Tuna,Thunnus obesus,Large pelagics (>=90 cm),MarinTrust,https://mbp.mu/,Mar-24
229,Mauritius,-20.1383,57.5142,Marine Biotechnology Products Ltd,A,fishery by-products,by-products,Skipjack Tuna,Katsuwonus pelamis,Large pelagics (>=90 cm),MarinTrust,https://mbp.mu/,Mar-24
229,Mauritius,-20.1383,57.5142,Marine Biotechnology Products Ltd,A,fishery by-products,by-products,Yellowfin Tuna,Thunnus albacares,Large pelagics (>=90 cm),MarinTrust,https://mbp.mu/,Mar-24
229,Mauritius,-20.1383,57.5142,Marine Biotechnology Products Ltd,A,fishery by-products,by-products,Albacore Tuna,Thunnus alalunga,Large pelagics (>=90 cm),MarinTrust,https://mbp.mu/,Mar-24
230,Mexico,27.8788,-110.8701,Guaymas Protein Company SA de CV,A,whole,whole,Monterrey sardine,Sardinops sagax,Medium pelagics (30 - 89 cm),MarinTrust,https://www.guaymasprotein.com.mx/en/home/,Mar-24
230,Mexico,27.8788,-110.8701,Guaymas Protein Company SA de CV,A,whole,whole,Pacific Thread herring,Opisthonema libertate,Small pelagics (<30 cm),MarinTrust,https://www.guaymasprotein.com.mx/en/home/,Mar-24
231,Mexico,26.7049,-109.5109,Industrial del Pacifico S.A de C.V.,A,NA,NA,NA,NA,NA,IFFO,http://www.ipsademexico.com/index.html,Feb-24
232,Mexico,27.8879,-110.8697,Maz Industrial SA de CV,A,fishery by-products,by-products,Yellowfin Tuna,Thunnus albacares,Large pelagics (>=90 cm),MarinTrust,https://mazinsa.com/,Mar-24
232,Mexico,27.8879,-110.8697,Maz Industrial SA de CV,A,fishery by-products,by-products,Skipjack Tuna,Katsuwonus pelamis,Large pelagics (>=90 cm),MarinTrust,https://mazinsa.com/,Mar-24
232,Mexico,27.8879,-110.8697,Maz Industrial SA de CV,A,whole,whole,Pacific chub mackerel,Scomber japonicus,Medium pelagics (30 - 89 cm),MarinTrust,https://mazinsa.com/,Mar-24
232,Mexico,27.8879,-110.8697,Maz Industrial SA de CV,A,whole,whole,Pacific jack mackerel,Trachurus symmetricus,Medium pelagics (30 - 89 cm),MarinTrust,https://mazinsa.com/,Mar-24
232,Mexico,27.8879,-110.8697,Maz Industrial SA de CV,A,whole,whole,Pacific anchoveta,Cetengraulis mysticetus,Small pelagics (<30 cm),MarinTrust,https://mazinsa.com/,Mar-24
232,Mexico,27.8879,-110.8697,Maz Industrial SA de CV,A,aquaculture by-products,by-products,Shrimp,Penaeus vannamei,Shrimps,MarinTrust,https://mazinsa.com/,Mar-24
233,Mexico,23.2181,-106.3753,Maz Industrial SA de CV,A,fishery by-products,by-products,Yellowfin Tuna,Thunnus albacares,Large pelagics (>=90 cm),MarinTrust,https://mazinsa.com/,Mar-24
233,Mexico,23.2181,-106.3753,Maz Industrial SA de CV,A,fishery by-products,by-products,Skipjack Tuna,Katsuwonus pelamis,Large pelagics (>=90 cm),MarinTrust,https://mazinsa.com/,Mar-24
233,Mexico,23.2181,-106.3753,Maz Industrial SA de CV,A,whole,whole,Pacific chub mackerel,Scomber japonicus,Medium pelagics (30 - 89 cm),MarinTrust,https://mazinsa.com/,Mar-24
233,Mexico,23.2181,-106.3753,Maz Industrial SA de CV,A,whole,whole,Pacific jack mackerel,Trachurus symmetricus,Medium pelagics (30 - 89 cm),MarinTrust,https://mazinsa.com/,Mar-24
233,Mexico,23.2181,-106.3753,Maz Industrial SA de CV,A,aquaculture by-products,by-products,Shrimp,Penaeus vannamei,Shrimps,MarinTrust,https://mazinsa.com/,Mar-24
233,Mexico,23.2181,-106.3753,Maz Industrial SA de CV,A,whole,whole,Pacific anchoveta,Cetengraulis mysticetus,Small pelagics (<30 cm),MarinTrust,https://mazinsa.com/,Mar-24
234,Mexico,26.7059,-109.5148,Pacifico Industrial S.A. de C.V.,A,whole,whole,Sardine,Oligoplites spp.,Medium benthopelagics (30 - 89 cm),MarinTrust,https://pacificoindustrial.mx/#productos,Mar-24
234,Mexico,26.7059,-109.5148,Pacifico Industrial S.A. de C.V.,A,whole,whole,South American Pilchard,Sardinops sagax,Medium pelagics (30 - 89 cm),MarinTrust,https://pacificoindustrial.mx/#productos,Mar-24
234,Mexico,26.7059,-109.5148,Pacifico Industrial S.A. de C.V.,A,whole,whole,Mackerel,Scomber japonicus,Medium pelagics (30 - 89 cm),MarinTrust,https://pacificoindustrial.mx/#productos,Mar-24
234,Mexico,26.7059,-109.5148,Pacifico Industrial S.A. de C.V.,A,whole,whole,Pacific Thread herring,Opisthonema libertate,Small pelagics (<30 cm),MarinTrust,https://pacificoindustrial.mx/#productos,Mar-24
234,Mexico,26.7059,-109.5148,Pacifico Industrial S.A. de C.V.,A,whole,whole,Pacific Anchoveta,Cetengraulis mysticetus,Small pelagics (<30 cm),MarinTrust,https://pacificoindustrial.mx/#productos,Mar-24
234,Mexico,26.7059,-109.5148,Pacifico Industrial S.A. de C.V.,A,whole,whole,Anchovy,Engraulis mordax,Small pelagics (<30 cm),MarinTrust,https://pacificoindustrial.mx/#productos,Mar-24
234,Mexico,26.7059,-109.5148,Pacifico Industrial S.A. de C.V.,A,whole,whole,Sardine Japanese,Etrumeus teres,Small pelagics (<30 cm),MarinTrust,https://pacificoindustrial.mx/#productos,Mar-24
235,Mexico,27.8825,-110.8709,Productos Pesqueros de Guaymas,A,NA,NA,NA,NA,NA,IFFO,https://www.guaymex.com/#x,Feb-24
236,Mexico,25.1976,-112.122,Productos Pesqueros de Guaymas,A,NA,NA,NA,NA,NA,IFFO,https://www.guaymex.com/#x,Feb-24
237,Mexico,24.7889,-112.1046,Productos Pesqueros de Guaymas,A,NA,NA,NA,NA,NA,IFFO,https://www.guaymex.com/#x,Feb-24
238,Mexico,31.8527,-116.6075,Productos Pesqueros de Guaymas,A,NA,NA,NA,NA,NA,IFFO,https://www.guaymex.com/#x,Feb-24
239,Mexico,27.8767,-110.8728,Sardinas de Sonora SA de CV,A,fishery by-products,by-products,Charro sardine,Trachurus symmetricus,Medium pelagics (30 - 89 cm),MarinTrust,https://www.grupopinsa.mx/,Mar-24
239,Mexico,27.8767,-110.8728,Sardinas de Sonora SA de CV,A,fishery by-products,by-products,Makerel,Scomber japonicus,Medium pelagics (30 - 89 cm),MarinTrust,https://www.grupopinsa.mx/,Mar-24
239,Mexico,27.8767,-110.8728,Sardinas de Sonora SA de CV,A,whole,whole,Pacific jack mackerel,Trachurus symmetricus,Medium pelagics (30 - 89 cm),MarinTrust,https://www.grupopinsa.mx/,Mar-24
239,Mexico,27.8767,-110.8728,Sardinas de Sonora SA de CV,A,whole,whole,Japanese sardine,Etrumeus teres,Small pelagics (<30 cm),MarinTrust,https://www.grupopinsa.mx/,Mar-24
239,Mexico,27.8767,-110.8728,Sardinas de Sonora SA de CV,A,whole,whole,Japanese sardine,Etrumeus sadina,Small pelagics (<30 cm),MarinTrust,https://www.grupopinsa.mx/,Mar-24
239,Mexico,27.8767,-110.8728,Sardinas de Sonora SA de CV,A,whole,whole,Japanese sardine,Etrumeus whiteheadi,Small pelagics (<30 cm),MarinTrust,https://www.grupopinsa.mx/,Mar-24
239,Mexico,27.8767,-110.8728,Sardinas de Sonora SA de CV,A,whole,whole,Red eye round herring,Etrumeus whiteheadi,Small pelagics (<30 cm),MarinTrust,https://www.grupopinsa.mx/,Mar-24
240,Mexico,26.7053,-109.5123,Industrias Barda SA de CV,A,whole,whole,Mackerel,Scomber japonicus,Medium pelagics (30 - 89 cm),MarinTrust,NA,Mar-24
240,Mexico,26.7053,-109.5123,Industrias Barda SA de CV,A,whole,whole,Monterrey sardine,Sardinops sagax,Medium pelagics (30 - 89 cm),MarinTrust,NA,Mar-24
240,Mexico,26.7053,-109.5123,Industrias Barda SA de CV,A,whole,whole,Thread herring,Opisthonema spp.,Small pelagics (<30 cm),MarinTrust,NA,Mar-24
