"factory_id","country","common_name","sciname","aquaculture","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
83,"Denmark","sprat","sprattus sprattus","no","yes","no","Shea et al. 2025",NA,"sprat","no","yes","DNK"
83,"Denmark","flounder","platichthys flesus","no","no","yes","Shea et al. 2025",NA,"flounder","no","yes","DNK"
84,"Denmark","cod","gadus morhua","no","no","yes","Shea et al. 2025",NA,"cod","no","yes","DNK"
84,"Denmark","saithe","pollachius virens","no","no","yes","Shea et al. 2025",NA,"saithe","no","yes","DNK"
84,"Denmark","hake","merluccius merluccius","no","no","yes","Shea et al. 2025",NA,"hake","no","yes","DNK"
84,"Denmark","whiting","merlangius merlangus","no","no","yes","Shea et al. 2025",NA,"whiting","no","yes","DNK"
84,"Denmark","norway pout","trisopterus esmarkii","no","yes","no","Shea et al. 2025",NA,"norway pout","no","yes","DNK"
84,"Denmark","plaice","pleuronectes platessa","no","no","yes","Shea et al. 2025",NA,"plaice","no","yes","DNK"
84,"Denmark","lemon sole","microstomus kitt","no","no","yes","Shea et al. 2025",NA,"lemon sole","no","yes","DNK"
84,"Denmark","haddock","melanogrammus aeglefinus","no","no","yes","Shea et al. 2025",NA,"haddock","no","yes","DNK"
84,"Denmark","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","DNK"
84,"Denmark","herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"herring","no","yes","DNK"
84,"Denmark","herring","clupea harengus","no","yes","no","Shea et al. 2025",NA,"herring","no","yes","DNK"
84,"Denmark","sandeel","ammodytes marinus","no","yes","no","Shea et al. 2025",NA,"sandeel","no","yes","DNK"
84,"Denmark","greater weever","trachinus draco","no","no","yes","Shea et al. 2025",NA,"greater weever","no","yes","DNK"
84,"Denmark","boarfish","capros aper","no","yes","no","Shea et al. 2025",NA,"boarfish","no","yes","DNK"
84,"Denmark","sardine","sardina pilchardus","no","no","yes","Shea et al. 2025",NA,"sardine","no","yes","DNK"
84,"Denmark","sprat","sprattus sprattus","no","yes","no","Shea et al. 2025",NA,"sprat","no","yes","DNK"
84,"Denmark","flounder","platichthys flesus","no","no","yes","Shea et al. 2025",NA,"flounder","no","yes","DNK"
85,"Denmark","salmon","salmo salar","yes","no","yes","Shea et al. 2025",NA,"salmon","no","no","DNK"
85,"Denmark","trout","oncorhynchus mykiss","yes","no","yes","Shea et al. 2025",NA,"trout","no","no","DNK"
85,"Denmark","pollock","pollachius virens","no","no","yes","Shea et al. 2025",NA,"pollock","no","yes","DNK"
85,"Denmark","rosefish","sebastes viviparus","no","no","yes","Shea et al. 2025",NA,"rosefish","no","yes","DNK"
85,"Denmark","plaice","pleuronectes platessa","no","no","yes","Shea et al. 2025",NA,"plaice","no","yes","DNK"
85,"Denmark","herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"herring","no","yes","DNK"
104,"ElSalvador","skipjack tuna","katsuwonus pelamis","no","no","yes","Shea et al. 2025",NA,"skipjack tuna","no","yes","SLV"
104,"ElSalvador","yellowfin tuna","thunnus albacares","no","no","yes","Shea et al. 2025",NA,"yellowfin tuna","no","yes","SLV"
104,"ElSalvador","bigeye tuna","thunnus obesus","no","no","yes","Shea et al. 2025",NA,"bigeye tuna","no","yes","SLV"
104,"ElSalvador","albacore tuna","thunnus alalunga","no","no","yes","Shea et al. 2025",NA,"albacore tuna","no","yes","SLV"
105,"Estonia","herring","clupea harengus","no","yes","no","Shea et al. 2025",NA,"herring","no","yes","EST"
105,"Estonia","herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"herring","no","yes","EST"
105,"Estonia","baltic sprat","sprattus sprattus","no","yes","no","Shea et al. 2025",NA,"baltic sprat","no","yes","EST"
105,"Estonia","baltic sprat","sprattus sprattus","no","no","yes","Shea et al. 2025",NA,"baltic sprat","no","yes","EST"
106,"Faroe Islands","atlantic salmon","salmo salar","yes","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","FRO"
106,"Faroe Islands","herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"herring","no","yes","FRO"
106,"Faroe Islands","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","FRO"
107,"Finland","herring","clupea harengus","no","yes","no","Shea et al. 2025",NA,"herring","no","yes","FIN"
107,"Finland","baltic sprat","sprattus sprattus","no","yes","no","Shea et al. 2025",NA,"baltic sprat","no","yes","FIN"
110,"France","salmon","salmo salar","yes","no","yes","Shea et al. 2025",NA,"salmon","no","no","FRA"
110,"France","saithe","pollachius virens","no","yes","no","Shea et al. 2025",NA,"saithe","no","yes","FRA"
110,"France","herring","clupea harengus","no","yes","no","Shea et al. 2025",NA,"herring","no","yes","FRA"
110,"France","anchovy","engraulis ringens","no","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","FRA"
110,"France","sardine","sardina pilchardus","no","yes","no","Shea et al. 2025",NA,"sardine","no","yes","FRA"
110,"France","sprat","sprattus sprattus","no","yes","no","Shea et al. 2025",NA,"sprat","no","yes","FRA"
111,"France","sardine","sardina pilchardus","no","yes","no","Shea et al. 2025",NA,"sardine","no","yes","FRA"
112,"France","cod","gadus morhua","no","no","yes","Shea et al. 2025",NA,"cod","no","yes","FRA"
112,"France","rainbow trout","oncorhynchus mykiss","yes","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","FRA"
112,"France","atlantic salmon","salmo salar","yes","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","FRA"
112,"France","black scabbardfish","aphanopus carbo","no","no","yes","Shea et al. 2025",NA,"black scabbardfish","no","yes","FRA"
112,"France","pollack","pollachius pollachius","no","no","yes","Shea et al. 2025",NA,"pollack","no","yes","FRA"
112,"France","ling","molva molva","no","no","yes","Shea et al. 2025",NA,"ling","no","yes","FRA"
112,"France","european hake","merluccius merluccius","no","no","yes","Shea et al. 2025",NA,"european hake","no","yes","FRA"
112,"France","blue ling","molva dypterygia","no","no","yes","Shea et al. 2025",NA,"blue ling","no","yes","FRA"
112,"France","saithe","pollachius virens","no","no","yes","Shea et al. 2025",NA,"saithe","no","yes","FRA"
112,"France","beaked redfish","sebastes mentella","no","no","yes","Shea et al. 2025",NA,"beaked redfish","no","yes","FRA"
112,"France","pouting","trisopterus luscus","no","no","yes","Shea et al. 2025",NA,"pouting","no","yes","FRA"
112,"France","black seabream","spondyliosoma cantharus","no","no","yes","Shea et al. 2025",NA,"black seabream","no","yes","FRA"
112,"France","whiting","merlangius merlangus","no","no","yes","Shea et al. 2025",NA,"whiting","no","yes","FRA"
112,"France","haddock","melanogrammus aeglefinus","no","no","yes","Shea et al. 2025",NA,"haddock","no","yes","FRA"
112,"France","plaice","pleuronectes platessa","no","no","yes","Shea et al. 2025",NA,"plaice","no","yes","FRA"
112,"France","herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"herring","no","yes","FRA"
112,"France","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","FRA"
112,"France","greenland halibut","reinhardtius hippoglossoides","no","no","yes","Shea et al. 2025",NA,"greenland halibut","no","yes","FRA"
113,"France","anglerfish","lophius piscatorius","no","no","yes","Shea et al. 2025",NA,"anglerfish","no","yes","FRA"
113,"France","cod","gadus morhua","no","no","yes","Shea et al. 2025",NA,"cod","no","yes","FRA"
113,"France","atlantic salmon","salmo salar","yes","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","FRA"
