"common_name","sciname","Species name from report/literature","source_country_name","source_country_iso3c","processor_iso3c","wholefish","trimmings","Proportion of production which is trimmings derived","Source"
"bullet tuna","auxis rochei","Tuna Spp.","Peru","PER","GRC","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Peru","PER","NOR","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Peru","PER","TUR","no","yes",1,"Biomar 2023"
"bullet tuna","auxis rochei","Tuna Spp.","Peru","PER","VNM","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","AUS","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","CHL","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","CHN","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","CRI","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","DNK","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","ECU","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","ESP","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","FRA","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","GBR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","GRC","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","NOR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","TUR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","India","IND","VNM","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","AUS","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","CHL","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","CHN","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","CRI","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","DNK","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","ECU","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","ESP","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","FRA","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","GBR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","GRC","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","NOR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","TUR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Indonesia","IDN","VNM","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","AUS","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","CHL","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","CHN","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","CRI","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","DNK","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","ECU","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","ESP","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","FRA","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","GBR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","GRC","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","NOR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","TUR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Malaysia","MYS","VNM","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","AUS","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","CHL","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","CHN","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","CRI","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","DNK","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","ECU","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","ESP","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","FRA","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","GBR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","GRC","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","NOR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","TUR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Sri Lanka","LKA","VNM","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","AUS","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","CHL","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","CHN","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","CRI","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","DNK","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","ECU","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","ESP","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","FRA","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","GBR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","GRC","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","NOR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","TUR","no","yes",1,"Biomar 2023"
"frigate tuna","auxis thazard","Tuna Spp.","Thailand","THA","VNM","no","yes",1,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","AUS","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","CHL","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","CHN","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","CRI","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","DNK","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","ECU","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","ESP","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","FRA","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","GBR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","GRC","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","NOR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","TUR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Mexico","MEX","VNM","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","AUS","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","CHL","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","CHN","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","CRI","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","DNK","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","ECU","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","ESP","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","FRA","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","GBR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","GRC","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","NOR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","TUR","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Panama","PAN","VNM","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","AUS","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","CHL","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","CHN","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","CRI","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","DNK","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","ECU","yes","yes",0.11,"Biomar 2023"
"pacific anchoveta","cetengraulis mysticetus","Anchovy","Colombia","COL","ESP","yes","yes",0.11,"Biomar 2023"
